Carimbo de data/hora,Qual é a sua faixa etária? ,Qual é o seu gênero?,Qual a sua cidade e estado?,Qual a sua profissão?,  Qual é sua faixa de renda mensal?  ,  Qual é o seu grau de escolaridade?  ,Com que frequência você compra roupas novas?  ,"Quanto você gasta, em média, com roupas por mês?  ",Você compra roupas de segunda mão (ex: brechós/desapegos)?  ,Você possui roupas dos seus pais ou outros familiares de quando eles eram mais jovens?,Você tem o costume de ler as etiquetas das roupas para ver a composição do tecido?,Você costuma alugar roupas para eventos ou ocasiões especiais?  ,Como você costuma descartar roupas que não usa mais?  ,Você conhece o conceito de moda circular?  ,Você estaria disposto(a) a pagar mais por roupas feitas de forma sustentável ou com materiais reciclados?  ,Você gosta de comprar as suas roupas em lojas físicas ou pela internet?,Você já comprou ou conhece marcas que promovem moda sustentável?  ,Você acredita que o consumo de moda impacta o meio ambiente?  ,Você relaciona suas escolhas de vestuário com os Objetivos de Desenvolvimento Sustentável (ODS)?,O que influencia sua decisão de compra?  ,Você já reformou alguma peça de roupa antiga para torná-la mais atual?,"O que te motiva a comprar roupas novas?
(Ex: necessidade, estilo, promoção, rede social, entre outros)",Você se considera um(a) consumidor(a) consciente? Por quê?  ,Qual ou quais são as marcas de roupas que você mais gosta de comprar?  
18/06/2025 10:10:23,18 a 24 anos,Feminino,Pacaembú ,Estudante,Até R$ 1.000,Ensino Superior incompleto,Mensalmente,De R$ 101 a R$ 300,Raramente,"Sim, eu tenho e utilizo",Nunca tive esse hábito,Não,Doação,Não,Não,Pela internet,Sim,Concordo,Não,Estilo,Nunca fiz,Estilo.,"Não,compro sem necessidade.",SHEIN.
18/06/2025 10:11:35,18 a 24 anos,Prefiro não informar,Adamantina-SP,Estudante,Até R$ 1.000,Ensino Superior incompleto,Anualmente,Até R$ 100,"Sim, frequentemente","Sim, eu tenho e utilizo",As vezes,Não,Algumas acabo vedendo e em alguns casos também faço doação,Mais ou menos,Sim,Pela internet,Não tenho certeza,Neutro,Não conheço as ODS,Preço,Faço isso sempre que posso,necessidade ,"sim, compro só oq preciso",não sou apegado a marca
18/06/2025 10:12:34,18 a 24 anos,Feminino,Pacaembu -SP,Estudante ,Até R$ 1.000,Ensino Médio incompleto,Mensalmente,Até R$ 100,Nunca,"Sim, eu tenho e utilizo",As vezes,Não,Doação,Não,Sim,Pela internet,Não tenho certeza,Concordo totalmente,Não,Preço,"Não sei fazer, por isso acabo sempre comprando roupa nova","Estilo, promoção e rede social","Meio termo, as vezes eu compro por consumismo e outras vezes porque eu realmente preciso ",Shein
18/06/2025 10:13:57,18 a 24 anos,Feminino,"Pacaembu, São Paulo ",Estudante ,De R$ 3.001 a R$ 5.000,Ensino Superior incompleto,Mensalmente,De R$ 101 a R$ 300,Nunca,"Eu tenho, mas não utilizo",As vezes,Sim,Doação,Não,Talvez,Compro pelas duas opções,Não tenho certeza,Concordo,Não conheço as ODS,Estilo,Faço isso sempre que posso,"Estilo, promoção.","Não, sempre que vejo uma peça nova já quero comprar.","SHEIN, Renner e C&A."
18/06/2025 10:27:01,18 a 24 anos,Feminino,"Adamantina, São Paulo.",Estudante ,Até R$ 1.000,Ensino Superior completo,Quinzenalmente,Até R$ 100,Raramente,"Sim, eu tenho e utilizo",Sempre leio,Não,Doação,Mais ou menos,Talvez,Compro pelas duas opções,Não tenho certeza,Concordo totalmente,Não,Preço,Nunca pensei nessa possibilidade,Rede social e promoção ,"Não, compras sem necessidade.",Não tenho preferência 
18/06/2025 10:28:40,18 a 24 anos,Masculino,Adamantina Sp,Estudante,De R$ 1.001 a R$ 3.000,Ensino Superior incompleto,Semestralmente,Até R$ 100,Raramente,"Sim, eu tenho e utilizo",Nunca tive esse hábito,Não,Doação,Não,Talvez,Em loja física,Não tenho certeza,Concordo,Não conheço as ODS,Durabilidade,Faço isso sempre que posso,Necessidade ,"Sim, consigo encolher o que comprar com base em minha nesecidade, equilibrando os desejos.","Não ligo muito para marcar. Porém usar marcas famosas é melhor, ao meu ver."
18/06/2025 10:32:26,18 a 24 anos,Feminino,Adamantina,Jovem aprendiz ,Até R$ 1.000,Ensino Superior incompleto,Anualmente,Até R$ 100,Nunca,"Sim, eu tenho e utilizo",Nunca tive esse hábito,Sim,Doação,Não,Sim,Em loja física,Não,Concordo,Não,Preço,Nunca fiz,Necessidade ,"Sim, sempre compro quando preciso","Não sei, compro qualquer marca "
18/06/2025 10:33:10,18 a 24 anos,Masculino,adamantina ,Auxiliar administrativo ,De R$ 1.001 a R$ 3.000,Ensino Médio completo,Trimestralmente,Até R$ 100,"Sim, frequentemente","Sim, eu tenho e utilizo",Nunca tive esse hábito,Não,Doação,Mais ou menos,Não,Em loja física,Não tenho certeza,Concordo,Sim,Estilo,Nunca fiz,Necessidade ,"Não, não fico pesquisando a sustentabilidade antes de comprar algo ",não tenho 
18/06/2025 10:33:53,18 a 24 anos,Feminino,Adamantina- Sp,Auxiliar de estoque ,Até R$ 1.000,Ensino Médio completo,Trimestralmente,Até R$ 100,Raramente,Não tenho,As vezes,Não,Doação,Não,Talvez,Compro pelas duas opções,Não tenho certeza,Concordo totalmente,Não,Estilo,Nunca fiz,"estilo, promoções ","sim, não gasto muito com roupa, muito difícil eu comprar alguma roupa nova ","vans, compro bastante na pernambucanas, shoppe e shien"
18/06/2025 10:35:44,18 a 24 anos,Feminino,Lucélia - SP,estudante e jovem aprendiz,Até R$ 1.000,Ensino Superior incompleto,Mensalmente,De R$ 101 a R$ 300,Raramente,"Sim, eu tenho e utilizo",Nunca tive esse hábito,Não,Doação,Mais ou menos,Sim,Compro pelas duas opções,Sim,Concordo totalmente,Não conheço as ODS,Estilo,Faço isso sempre que posso,necessidade e estilo,"as vezes sim, não compro de forma exagerada e penso em como me pode ser util. Tento sempre reutilizar roupas. ","renner, c&a, Riachuelo, lojas de departamento. "
18/06/2025 10:36:18,18 a 24 anos,Feminino,adamantina ,jovem aprendiz,Até R$ 1.000,Ensino Superior incompleto,Mensalmente,De R$ 101 a R$ 300,Nunca,"Sim, eu tenho e utilizo",As vezes,Sim,Doação,Sim,Não,Compro pelas duas opções,Sim,Concordo totalmente,Não conheço as ODS,Preço,Nunca fiz,rede social,"não, infelizmente compro roupas novas sem necessidade e não procuro saber tanto sobre a marca ",não sei 
